No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11183a-x40-08.tif;960;540.026042;482.568750;27.296000;46.681816;1.297860;1.710207;0.584724;0.560901;94.000000;0.811232;125.128000;0.594097;-2.570338e-01;7.872071e-01
2;F-11183a-x40-08.tif;1420;567.852113;530.150704;36.690655;50.906569;1.267392;1.387453;0.720745;0.697671;119.000000;0.693200;150.385000;0.634001;2.286491e-01;7.991204e-01
3;F-11183a-x40-08.tif;652;583.846626;479.361963;24.518914;35.530662;1.164705;1.449112;0.690078;0.657584;48.000000;0.723735;97.687000;0.583070;3.682796e-01;7.649449e-01
4;F-11183a-x40-08.tif;928;609.351293;440.682112;31.679472;37.555753;1.008968;1.185492;0.843532;0.837732;27.000000;0.537079;108.472000;0.641481;3.255450e-01;7.999103e-01
5;F-11183a-x40-08.tif;585;639.712821;426.977778;21.875342;36.279519;1.299003;1.658466;0.602967;0.565904;51.000000;0.797766;97.721000;0.559875;3.100694e-01;7.118736e-01
6;F-11183a-x40-08.tif;561;657.875223;443.791444;23.528527;36.295896;1.545178;1.542634;0.648242;0.542198;121.000000;0.761434;104.370000;0.576566;2.681468e-01;7.519404e-01
7;F-11183a-x40-08.tif;767;888.556714;527.426336;29.091106;35.278459;1.243553;1.212689;0.824614;0.784669;87.000000;0.565696;109.480000;0.592608;2.886084e-01;7.819831e-01
8;F-11183a-x40-08.tif;1459;924.958191;523.229609;30.114891;67.121703;1.603899;2.228854;0.448661;0.412325;193.000000;0.893702;171.483000;0.602689;-4.302290e-02;8.394478e-01
9;F-11183a-x40-08.tif;523;1182.455067;665.810707;24.120348;28.279848;1.025567;1.172448;0.852916;0.832641;18.000000;0.522047;82.099000;0.677874;-1.529505e-01;9.395828e-01
10;F-11183a-x40-08.tif;737;1197.704206;646.044776;28.357623;34.112272;1.073947;1.202931;0.831303;0.806411;39.000000;0.555820;99.731000;0.645385;1.954148e-01;8.390996e-01
11;F-11183a-x40-08.tif;1023;1466.352884;723.252199;33.956872;39.774669;1.251489;1.171329;0.853731;0.823327;105.000000;0.520714;126.840000;0.633897;1.358654e-01;8.346714e-01
12;F-11183a-x40-08.tif;885;1539.783051;669.261017;25.794254;46.732558;1.400410;1.811743;0.551955;0.515958;121.000000;0.833874;124.797000;0.603938;2.080805e-01;7.507083e-01
